Customer_ID,Transaction_Frequency,Spending,Product_Usage,Recency
C001,7,3467.26,6,59
C002,5,2896.41,5,46
C003,3,404.11,2,5
C004,5,867.16,4,40
C005,5,583.28,4,9
C007,5,452.75,5,79
C008,4,335.35,3,22
C009,2,1081.6,2,274
C010,4,429.42,4,69
C011,3,3199.0,3,45
C012,3,1462.64,3,6
C013,3,294.5,2,105
C014,5,1391.87,4,59
C015,8,1267.98,7,41
C016,4,425.67,4,84
C017,3,188.79,2,133
C018,1,140.8,1,51
C019,3,1343.91,3,71
C020,3,769.27,3,68
C021,4,432.33,3,97
C022,5,2814.79,5,48
C023,8,4890.04,6,7
C024,4,886.43,4,87
C025,7,2145.91,5,17
C026,1,329.54,1,256
C027,4,974.08,4,46
C028,8,1074.88,7,27
C029,4,805.42,2,2
C030,4,1834.04,3,94
C031,6,897.36,5,22
C032,5,1034.88,4,68
C033,4,371.66,4,96
C034,5,947.33,4,50
C035,6,1657.66,4,21
C036,4,562.61,4,171
C037,3,1912.02,3,71
C038,5,756.12,4,45
C039,8,3545.67,6,18
C040,2,280.85,2,107
C041,3,421.27,2,15
C042,3,287.86,3,55
C043,4,365.27,3,132
C044,5,2968.78,4,10
C045,3,1272.33,2,62
C046,6,991.45,6,54
C047,13,4830.21,8,1
C048,2,139.55,2,177
C049,2,181.18,1,17
C050,7,2200.07,7,80
C051,7,821.32,5,18
C052,4,336.71,4,179
C053,3,1216.66,3,140
C054,5,1400.56,4,82
C055,3,316.99,2,87
C056,4,1482.75,4,38
C057,5,352.42,4,5
C058,4,3997.49,4,30
C059,1,78.46,1,346
C060,3,4237.66,3,71
C061,3,525.37,3,241
C062,6,4028.91,4,29
C063,1,124.83,1,139
C064,4,627.81,3,58
C065,2,140.19,2,40
C066,4,604.47,3,15
C067,3,1254.32,3,43
C068,7,4469.26,5,109
C069,5,1995.63,4,33
C070,3,247.58,3,30
C071,11,3339.52,6,7
C072,7,1294.42,5,45
C073,5,1291.48,4,164
C074,3,263.26,1,41
C075,3,341.28,2,208
C076,3,809.14,3,175
C077,1,53.4,1,70
C078,5,1848.82,4,206
C079,3,386.32,3,4
C080,2,603.51,2,91
C081,4,1550.11,4,20
C082,4,1476.43,4,74
C083,4,638.69,4,67
C084,3,1059.21,3,183
C085,6,873.21,5,3
C086,5,434.74,3,15
C087,1,119.11,1,139
C088,3,1091.03,3,89
C089,3,270.69,3,1
C090,7,827.16,3,51
C091,4,478.81,3,5
C092,1,113.69,1,2
C093,1,168.56,1,322
C094,4,319.43,4,5
C095,7,2342.31,7,21
C096,4,726.64,4,52
C097,3,1111.91,3,33
C098,1,40.27,1,89
C099,7,3104.84,5,18
C100,4,1446.01,4,57
C101,6,1598.2,4,16
C102,7,1269.4,7,25
C103,6,1171.33,6,37
C104,5,2965.49,5,73
C105,4,435.45,3,141
C106,5,669.5,4,16
C107,3,304.22,3,34
C108,5,608.13,4,43
C109,2,279.78,2,30
C110,4,1433.77,3,84
C111,2,119.5,2,119
C112,4,555.89,3,14
C113,5,1705.65,4,101
C114,3,289.27,3,22
C115,3,1170.56,3,136
C116,3,300.12,3,128
C117,3,767.99,3,86
C118,5,879.88,4,75
C119,4,359.36,4,24
C120,7,2720.14,5,21
C121,7,1385.05,7,22
C122,6,874.79,5,7
C123,7,671.4,7,7
C124,3,615.59,3,99
C125,8,4748.58,5,12
C126,4,357.3,3,231
C127,6,1527.61,4,58
C128,7,1443.08,6,19
C129,4,1170.49,4,139
C130,2,122.17,2,163
C131,2,986.75,2,18
C132,5,572.88,3,90
C133,5,940.04,5,99
C134,6,1020.94,6,75
C135,1,207.69,1,124
C136,5,2105.98,4,234
C137,4,828.89,3,58
C138,2,1181.59,2,332
C139,4,881.72,4,66
C140,5,646.67,5,70
C141,5,3105.96,5,8
C142,4,397.34,4,7
C143,1,2083.42,1,239
C144,4,927.52,4,71
C145,6,450.78,5,14
C146,3,448.54,3,137
C147,4,1482.78,4,230
C148,7,1345.54,5,34
C149,3,1018.05,3,63
C150,1,57.68,1,266
C151,2,1220.49,2,21
C152,2,71.21,2,276
C153,4,640.52,3,34
C154,8,1499.75,7,21
C155,5,1136.19,4,154
C156,7,1899.72,5,34
C158,4,1566.27,4,60
C159,1,149.64,1,125
C160,5,1597.67,5,22
C161,6,3237.46,6,86
C162,6,3320.25,4,1
C163,2,148.74,2,208
C164,4,467.14,4,71
C165,8,2218.59,6,46
C166,3,273.76,3,59
C167,3,1611.59,3,156
C168,5,1048.79,4,85
C169,4,3435.15,3,160
C170,4,678.4,4,117
C171,5,708.64,5,55
C172,1,51.42,1,234
C173,5,482.66,3,122
C174,4,2452.4,4,5
C175,5,686.22,4,80
C176,3,2263.22,3,65
C177,3,1790.28,3,78
C178,3,587.21,3,47
C179,4,1338.21,3,95
C180,2,225.3,2,72
C181,6,979.47,6,4
C182,3,542.9,3,8
C183,3,276.09,3,67
C184,3,994.59,2,35
C185,7,925.59,6,74
C186,5,2333.16,4,4
C187,3,139.27,1,196
C188,4,1117.18,4,56
C189,3,672.86,3,84
C190,5,1167.13,4,119
C191,6,950.62,4,14
C192,4,860.88,4,12
C193,6,914.58,6,134
C194,8,771.84,5,115
C195,5,4633.83,4,113
C196,6,637.96,6,26
C197,2,905.71,2,75
C198,3,404.06,3,142
C199,5,619.08,4,122
C200,4,701.74,3,139
C201,3,646.48,3,52
C202,1,373.05,1,91
C203,8,534.06,4,122
C204,3,727.44,3,76
C205,2,197.51,2,105
C206,4,288.23,4,60
C207,2,169.0,2,238
C208,7,1351.56,4,5
C209,5,1776.5,5,112
C210,6,1257.78,4,35
C211,5,1734.78,4,35
C212,8,2185.79,7,39
C213,6,901.21,3,141
C214,5,386.56,4,35
C215,4,1142.81,4,210
C216,3,502.98,3,9
C217,6,2599.42,5,51
C218,1,124.13,1,68
C219,3,1021.73,3,128
C220,1,94.15,1,20
C221,6,1211.88,5,85
C222,2,341.38,2,26
C223,6,685.34,5,133
C224,7,2157.7,5,51
C225,3,1347.86,2,31
C226,6,672.31,5,11
C227,5,718.42,4,89
C228,3,635.76,3,6
C229,4,437.47,4,7
C230,7,1155.17,7,11
C231,8,726.18,5,23
C232,4,1006.52,4,191
C233,9,6144.4,7,6
C234,7,1242.01,6,75
C235,4,1012.83,4,54
C236,1,378.74,1,357
C237,2,874.42,2,340
C238,5,640.34,5,17
C239,2,149.16,2,55
C240,3,1190.32,3,112
C241,3,2558.33,3,162
C242,3,2187.86,3,170
