Customer_ID,Transaction_Frequency,Spending,Product_Usage,Recency,Frequency_Score,Spending_Score,Recency_Score,Product_Usage_Score,Total_Score,Segment
C001,7,3467.26,6,59,3,3,2,3,11,High-Value / Engaged
C002,5,2896.41,5,46,2,3,2,3,10,High-Value / Engaged
C003,3,404.11,2,5,1,1,3,1,6,Regular / Growth Potential
C004,5,867.16,4,40,2,2,2,2,8,Regular / Growth Potential
C005,5,583.28,4,9,2,2,3,2,9,High-Value / Engaged
C007,5,452.75,5,79,2,2,2,3,9,High-Value / Engaged
C008,4,335.35,3,22,2,1,3,1,7,Regular / Growth Potential
C009,2,1081.6,2,274,1,2,1,1,5,At-Risk / Low Engagement
C010,4,429.42,4,69,2,1,2,2,7,Regular / Growth Potential
C011,3,3199.0,3,45,1,3,2,1,7,Regular / Growth Potential
C012,3,1462.64,3,6,1,2,3,1,7,Regular / Growth Potential
C013,3,294.5,2,105,1,1,2,1,5,At-Risk / Low Engagement
C014,5,1391.87,4,59,2,2,2,2,8,Regular / Growth Potential
C015,8,1267.98,7,41,3,2,2,3,10,High-Value / Engaged
C016,4,425.67,4,84,2,1,2,2,7,Regular / Growth Potential
C017,3,188.79,2,133,1,1,1,1,4,At-Risk / Low Engagement
C018,1,140.8,1,51,1,1,2,1,5,At-Risk / Low Engagement
C019,3,1343.91,3,71,1,2,2,1,6,Regular / Growth Potential
C020,3,769.27,3,68,1,2,2,1,6,Regular / Growth Potential
C021,4,432.33,3,97,2,1,2,1,6,Regular / Growth Potential
C022,5,2814.79,5,48,2,3,2,3,10,High-Value / Engaged
C023,8,4890.04,6,7,3,3,3,3,12,High-Value / Engaged
C024,4,886.43,4,87,2,2,2,2,8,Regular / Growth Potential
C025,7,2145.91,5,17,3,3,3,3,12,High-Value / Engaged
C026,1,329.54,1,256,1,1,1,1,4,At-Risk / Low Engagement
C027,4,974.08,4,46,2,2,2,2,8,Regular / Growth Potential
C028,8,1074.88,7,27,3,2,2,3,10,High-Value / Engaged
C029,4,805.42,2,2,2,2,3,1,8,Regular / Growth Potential
C030,4,1834.04,3,94,2,3,2,1,8,Regular / Growth Potential
C031,6,897.36,5,22,3,2,3,3,11,High-Value / Engaged
C032,5,1034.88,4,68,2,2,2,2,8,Regular / Growth Potential
C033,4,371.66,4,96,2,1,2,2,7,Regular / Growth Potential
C034,5,947.33,4,50,2,2,2,2,8,Regular / Growth Potential
C035,6,1657.66,4,21,3,3,3,2,11,High-Value / Engaged
C036,4,562.61,4,171,2,2,1,2,7,Regular / Growth Potential
C037,3,1912.02,3,71,1,3,2,1,7,Regular / Growth Potential
C038,5,756.12,4,45,2,2,2,2,8,Regular / Growth Potential
C039,8,3545.67,6,18,3,3,3,3,12,High-Value / Engaged
C040,2,280.85,2,107,1,1,2,1,5,At-Risk / Low Engagement
C041,3,421.27,2,15,1,1,3,1,6,Regular / Growth Potential
C042,3,287.86,3,55,1,1,2,1,5,At-Risk / Low Engagement
C043,4,365.27,3,132,2,1,1,1,5,At-Risk / Low Engagement
C044,5,2968.78,4,10,2,3,3,2,10,High-Value / Engaged
C045,3,1272.33,2,62,1,2,2,1,6,Regular / Growth Potential
C046,6,991.45,6,54,3,2,2,3,10,High-Value / Engaged
