Customer_ID,Transaction_ID,Transaction_Date,Product,Product_Category,Quantity,Unit_Price,Transaction_Amount,Payment_Method,Region
C058,T0001,13-03-2025,Laptop,Electronics,2,746.94,1493.88,Credit Card,North
C217,T0002,16-09-2025,Laptop,Electronics,1,731.18,731.18,Credit Card,South
C280,T0003,04-01-2025,T-Shirt,Clothing,1,35.62,35.62,Debit Card,West
C175,T0004,22-06-2025,Mouse,Accessories,1,77.22,77.22,Credit Card,North
C195,T0005,16-05-2025,Smartphone,Electronics,1,506.37,506.37,Credit Card,West
C275,T0006,10-10-2025,Smartphone,Electronics,3,527.12,1581.36,UPI,East
C099,T0007,29-05-2025,Blender,Home,1,112.74,112.74,Credit Card,South
C052,T0008,06-07-2025,T-Shirt,Clothing,1,37.25,37.25,Debit Card,East
C182,T0009,16-12-2025,Keyboard,Accessories,1,93.16,93.16,Credit Card,South
C274,T0010,19-05-2025,Blender,Home,1,90.85,90.85,Debit Card,East
C029,T0011,25-07-2025,Keyboard,Accessories,2,102.45,204.90,UPI,North
C109,T0012,02-12-2025,Jacket,Clothing,2,90.91,181.82,Cash,West
C235,T0013,15-10-2025,Headphones,Electronics,1,79.46,79.46,UPI,West
C205,T0014,18-09-2025,Backpack,Accessories,1,119.78,119.78,Cash,North
C025,T0015,15-12-2025,Smartphone,Electronics,1,395.99,395.99,Cash,North
C198,T0016,09-05-2025,T-Shirt,Clothing,1,31.38,31.38,Credit Card,North
C275,T0017,31-05-2025,Mouse,Accessories,2,37.11,74.22,Cash,South
C233,T0018,15-05-2025,Laptop,Electronics,3,1125.51,3376.53,Debit Card,North
C153,T0019,11-07-2025,Coffee Maker,Home,1,75.86,75.86,Debit Card,North
C166,T0020,07-06-2025,Jeans,Clothing,1,85.75,85.75,Debit Card,North
C124,T0021,06-09-2025,Jacket,Clothing,3,61.13,183.39,Credit Card,South
C066,T0022,16-05-2025,Coffee Maker,Home,1,121.47,121.47,Cash,South
C277,T0023,24-07-2025,Blender,Home,1,118.42,118.42,UPI,West
C265,T0024,23-06-2025,Jeans,Clothing,1,43.48,43.48,Credit Card,South
C113,T0025,28-04-2025,Laptop,Electronics,1,978.66,978.66,Credit Card,North
C170,T0026,06-09-2025,Smartphone,Electronics,1,467.09,467.09,Debit Card,South
C243,T0027,08-04-2025,Keyboard,Accessories,2,102.67,205.34,Credit Card,North
