Customer_ID,Transaction_ID,Transaction_Date,Product,Product_Category,Quantity,Unit_Price,Transaction_Amount,Payment_Method,Region
C058,T0001,2025-03-13,Laptop,Electronics,2,746.94,1493.88,Credit Card,North
C217,T0002,2025-09-16,Laptop,Electronics,1,731.18,731.18,Credit Card,South
C280,T0003,2025-01-04,T-Shirt,Clothing,1,35.62,35.62,Debit Card,West
C175,T0004,2025-06-22,Mouse,Accessories,1,77.22,77.22,Credit Card,North
C195,T0005,2025-05-16,Smartphone,Electronics,1,506.37,506.37,Credit Card,West
C275,T0006,2025-10-10,Smartphone,Electronics,3,527.12,1581.36,UPI,East
C099,T0007,2025-05-29,Blender,Home,1,112.74,112.74,Credit Card,South
C052,T0008,2025-07-06,T-Shirt,Clothing,1,37.25,37.25,Debit Card,East
C182,T0009,2025-12-16,Keyboard,Accessories,1,93.16,93.16,Credit Card,South
C274,T0010,2025-05-19,Blender,Home,1,90.85,90.85,Debit Card,East
C029,T0011,2025-07-25,Keyboard,Accessories,2,102.45,204.9,UPI,North
C109,T0012,2025-12-02,Jacket,Clothing,2,90.91,181.82,Cash,West
C235,T0013,2025-10-15,Headphones,Electronics,1,79.46,79.46,UPI,West
C205,T0014,2025-09-18,Backpack,Accessories,1,119.78,119.78,Cash,North
C025,T0015,2025-12-15,Smartphone,Electronics,1,395.99,395.99,Cash,North
C198,T0016,2025-05-09,T-Shirt,Clothing,1,31.38,31.38,Credit Card,North
C275,T0017,2025-05-31,Mouse,Accessories,2,37.11,74.22,Cash,South
C233,T0018,2025-05-15,Laptop,Electronics,3,1125.51,3376.53,Debit Card,North
C153,T0019,2025-07-11,Coffee Maker,Home,1,75.86,75.86,Debit Card,North
C166,T0020,2025-06-07,Jeans,Clothing,1,85.75,85.75,Debit Card,North
C124,T0021,2025-09-06,Jacket,Clothing,3,61.13,183.39,Credit Card,South
C066,T0022,2025-05-16,Coffee Maker,Home,1,121.47,121.47,Cash,South
C277,T0023,2025-07-24,Blender,Home,1,118.42,118.42,UPI,West
C265,T0024,2025-06-23,Jeans,Clothing,1,43.48,43.48,Credit Card,South
C113,T0025,2025-04-28,Laptop,Electronics,1,978.66,978.66,Credit Card,North
C170,T0026,2025-09-06,Smartphone,Electronics,1,467.09,467.09,Debit Card,South
C243,T0027,2025-04-08,Keyboard,Accessories,2,102.67,205.34,Credit Card,North
C221,T0028,2025-01-28,Backpack,Accessories,1,72.03,72.03,Credit Card,North
C207,T0029,2025-05-08,Blender,Home,1,134.78,134.78,Debit Card,South
C275,T0030,2025-08-25,Jeans,Clothing,1,41.01,41.01,Debit Card,North
C227,T0031,2025-10-04,Sneakers,Footwear,1,115.21,115.21,Credit Card,North
